frame,dt,speedKmh,throttleRaw,throttleSmoothed,vehicleSpeedFeedbackKmh,engineRpmFeedback,currentGear,targetGear,requestsShift,lastShiftDirection,timeSinceLastShiftS,kickdownActive,throttleDeltaHistory,engineRpm,upshiftSpeed,downshiftSpeed,twinState,clutchPressure
82,0.016000,14.886,1.0000,1.0000,14.886,1097.7,1,1,0,0,1.3120,1,0.0000,1832.3,70.000,0.000,3,1.0000
83,0.016000,15.008,1.0000,1.0000,15.008,1100.2,1,1,0,0,1.3280,1,0.0000,1847.4,70.000,0.000,3,1.0000
84,0.016000,15.131,1.0000,1.0000,15.131,1102.6,1,1,0,0,1.3440,1,0.0000,1862.4,70.000,0.000,3,1.0000
85,0.016000,15.253,1.0000,1.0000,15.253,1105.1,1,1,0,0,1.3600,1,0.0000,1877.5,70.000,0.000,3,1.0000
86,0.016000,15.376,1.0000,1.0000,15.376,1107.5,1,1,0,0,1.3760,1,0.0000,1892.6,70.000,0.000,3,1.0000
87,0.016000,15.498,1.0000,1.0000,15.498,1110.0,1,1,0,0,1.3920,1,0.0000,1907.7,70.000,0.000,3,1.0000
88,0.016000,15.621,1.0000,1.0000,15.621,1112.4,1,1,0,0,1.4080,1,0.0000,1922.8,70.000,0.000,3,1.0000
89,0.016000,15.743,1.0000,1.0000,15.743,1114.9,1,1,0,0,1.4240,1,0.0000,1937.8,70.000,0.000,3,1.0000
90,0.016000,15.866,1.0000,1.0000,15.866,1117.3,1,1,0,0,1.4400,1,0.0000,1952.9,70.000,0.000,3,1.0000
91,0.016000,15.988,1.0000,1.0000,15.988,1119.8,1,1,0,0,1.4560,1,0.0000,1968.0,70.000,0.000,3,1.0000
92,0.016000,16.111,1.0000,1.0000,16.111,1122.2,1,1,0,0,1.4720,1,0.0000,1983.1,70.000,0.000,3,1.0000
93,0.016000,16.233,1.0000,1.0000,16.233,1124.7,1,1,0,0,1.4880,1,0.0000,1998.1,70.000,0.000,3,1.0000
94,0.016000,16.356,1.0000,1.0000,16.356,1127.1,1,1,0,0,1.5040,1,0.0000,2013.2,70.000,0.000,3,1.0000
95,0.016000,16.478,1.0000,1.0000,16.478,1129.6,1,1,0,0,1.5200,1,0.0000,2028.3,70.000,0.000,3,1.0000
96,0.016000,16.600,1.0000,1.0000,16.600,1132.0,1,1,0,0,1.5360,1,0.0000,2043.3,70.000,0.000,3,1.0000
97,0.016000,16.723,1.0000,1.0000,16.723,1134.5,1,1,0,0,1.5520,1,0.0000,2058.4,70.000,0.000,3,1.0000
98,0.016000,16.845,1.0000,1.0000,16.845,1136.9,1,1,0,0,1.5680,1,0.0000,2073.5,70.000,0.000,3,1.0000
99,0.016000,16.968,1.0000,1.0000,16.968,1139.4,1,1,0,0,1.5840,1,0.0000,2088.5,70.000,0.000,3,1.0000
100,0.016000,17.090,1.0000,1.0000,17.090,1141.8,1,1,0,0,1.6000,1,0.0000,2103.6,70.000,0.000,3,1.0000
101,0.016000,17.212,1.0000,1.0000,17.212,1144.2,1,1,0,0,1.6160,1,0.0000,2118.6,70.000,0.000,3,1.0000
102,0.016000,17.335,1.0000,1.0000,17.335,1146.7,1,1,0,0,1.6320,1,0.0000,2133.7,70.000,0.000,3,1.0000
103,0.016000,17.457,1.0000,1.0000,17.457,1149.1,1,1,0,0,1.6480,1,0.0000,2148.7,70.000,0.000,3,1.0000
104,0.016000,17.579,1.0000,1.0000,17.579,1151.6,1,1,0,0,1.6640,1,0.0000,2163.8,70.000,0.000,3,1.0000
105,0.016000,17.701,1.0000,1.0000,17.701,1154.0,1,1,0,0,1.6800,1,0.0000,2178.8,70.000,0.000,3,1.0000
106,0.016000,17.824,1.0000,1.0000,17.824,1156.5,1,1,0,0,1.6960,1,0.0000,2193.9,70.000,0.000,3,1.0000
107,0.016000,17.946,1.0000,1.0000,17.946,1158.9,1,1,0,0,1.7120,1,0.0000,2208.9,70.000,0.000,3,1.0000
